Name0,Desc1,Desc2,Name1,HEX,R,G,B,Hue,Sat,Lum
red,red-orange,Pure (or mostly pure) orange,Xiaomi Orange,#fd4900,253,73,0,17,100.0,49.6
brown,medium light red-orange,Very light orange,Lightsalmon,#FFA07A,255,160,122,17,100.0,73.9
brown,medium dark red-orange,Dark moderate orange,Green tea-colored (Sencha-iro),#824b35,130,75,53,17,42.1,35.9
black,dark red-orange,Very dark grayish orange,Indigo ink brown (Aisumicha),#393432,57,52,50,17,6.5,21.0
red,red-orange,Bright orange,Flame,#E25822,226,88,34,17,76.8,51.0
red,red-orange,Strong orange,Sinopia,#CB410B,203,65,11,17,89.7,42.0
brown,red-orange,Dark moderate orange,Red ochre color (Taisha-iro),#9f5233,159,82,51,17,51.4,41.2
orange,medium light red-orange,Bright orange,Mandarin,#F37A48,243,122,72,18,87.7,61.8
brown,medium light red-orange,Soft orange,"Copper, Pale copper",#DA8A67,218,138,103,18,60.8,62.9
orange,red-orange,Vivid orange,Brave orange,#ff631c,255,99,28,18,100.0,55.5
brown,medium dark red-orange,Dark orange [Brown tone],Metallic brown,#ac4313,172,67,19,18,80.1,37.5
brown,medium light red-orange,Soft orange,BurningSand,#D99376,217,147,118,18,56.6,65.7
brown,red-orange,Mostly desaturated dark orange,Walnut-dyed (Kurumizome),#9F7462,159,116,98,18,24.1,50.4
brown,medium dark orange,Dark orange [Brown tone],Rust,#87410E,183,65,14,18,81.2,29.2
pink,very light red-orange,Very pale orange,Watusi,#FFDDCF,255,221,207,18,100.0,90.6
brown,red-orange,Dark moderate orange,Polished brown (Tonocha),#985538,152,85,56,18,46.2,40.8
pink,very light magenta,Very pale pink,Pink lace,#FFDDF4,255,221,207,18,100.0,93.3
orange,red-orange,Vivid orange,Halloween orange,#eb6123,235,97,35,18,83.3,52.9
white,very light red-orange,Very pale (mostly white) orange,LightWatusi,#FFF1EB,255,241,235,18,100.0,96.1
brown,medium light red-orange,Soft orange,Washed-out persimmon (Araigaki),#ec8254,236,130,84,18,80.0,62.7
brown,medium dark red-orange,Strong orange,Rust,#B7410E,183,65,14,18,85.8,38.6
orange,medium light red-orange,Light orange,Orange (Crayola),#FF7538,255,117,56,18,100.0,61.0
black,very dark red-orange,Very dark (mostly black) orange [Brown tone],Legal dye (from when color use was regulated by class) (Kenpōzome),#2e211b,46,33,27,18,26.0,14.3
orange,red-orange,Bright orange,Vivid vermilion,#e56024,229,96,36,18,78.8,52.0
pink,light red-orange,Very soft orange,ApricotLight,#F7CDB9,247,205,185,19,79.5,84.7
brown,medium dark red-orange,Very dark desaturated orange,Dark Brown,#5C4033,96,64,51,19,28.7,28.0
grey,red-orange,Mostly desaturated dark orange,Italian roast,#906652,144,102,82,19,27.4,44.3
orange,orange,Pure (or mostly pure) orange,Mystic red,#ff5500,255,85,0,19,100.0,50.0
