index,Name0,Hue,Sat,Lum
15765392,pink,359.0,76.4,75.1
6047783,brown,37.0,40.5,25.7
9371903,purple,274.0,100.0,50.0
16114268,yellow,53.0,88.4,66.1
15702186,pink,348.0,73.1,76.7
3342438,purple,270.0,100.0,20.0
11671559,red,5.0,92.4,36.3
11030894,purple,340.0,34.9,48.8
16711884,pink,312.0,100.0,50.0
6268792,green,141.0,29.0,51.4
11583258,yellow,65.0,76.0,42.5
11331054,blue,188.0,66.0,80.4
9463378,grey,19.0,27.4,44.3
7562941,purple,249.0,39.7,57.1
4021570,grey,129.0,20.8,30.2
6518619,grey,102.0,13.3,41.2
13127835,purple,323.0,52.2,54.9
7500914,grey,120.0,0.9,45.1
5966481,purple,276.0,87.1,30.4
4697036,blue,195.0,56.6,53.9
8657709,red,350.0,66.0,31.2
8672828,brown,21.0,37.5,37.6
5017921,green,112.0,38.1,41.2
13265188,brown,25.0,69.7,46.7
16773077,brown,37.0,100.0,91.8
10259021,brown,46.0,33.9,45.7
11745919,purple,326.0,51.1,46.5
47083,cyan,196.0,100.0,46.1
16599296,red,17.0,100.0,49.6
10494192,purple,268.0,87.4,53.3
12186367,blue,191.0,100.0,86.3
35723,cyan,180.0,100.0,27.3
8914638,purple,279.0,94.3,41.6
14893620,red,5.0,75.8,54.7
15453142,grey,341.0,44.4,85.9
8716545,red,0.0,98.5,26.3
15670759,pink,302.0,86.8,52.5
13873533,brown,36.0,49.4,65.9
7761608,purple,246.0,45.0,60.8
8864287,brown,20.0,62.7,32.5
14473172,grey,22.0,10.3,84.7
16355439,brown,14.0,92.0,70.6
8350557,grey,24.0,15.5,43.1
8860256,purple,328.0,45.9,36.3
16131713,pink,333.0,92.0,55.7
8547160,brown,27.0,19.3,42.7
16739642,orange,15.0,100.0,61.4
16303071,pink,328.0,79.1,86.9
3247335,blue,210.0,79.1,54.9
10171675,brown,12.0,70.3,35.7
1401021,blue,213.0,80.0,41.2
7313728,green,88.0,41.0,42.5
8255999,cyan,183.0,100.0,74.5
16769522,pink,326.0,100.0,94.1
4756123,blue,186.0,36.6,44.5
7956600,grey,304.0,7.6,44.1
10798649,green,74.0,55.3,50.0
8613968,grey,38.0,24.2,41.4
16355909,orange,25.0,93.8,62.4
12398592,red,15.0,100.0,37.1
8388736,purple,300.0,100.0,25.1
14995466,yellow,54.0,91.6,46.7
11060156,grey,164.0,18.4,71.2
10179391,brown,13.0,42.2,42.7
13789470,brown,25.0,75.0,47.1
4784646,black,356.0,94.7,14.7
12670145,purple,300.0,46.8,54.3
15506,blue,215.0,100.0,28.6
16773611,white,18.0,100.0,96.1
43878,green,156.0,100.0,33.5
11321184,green,72.0,42.6,56.3
65280,green,120.0,100.0,50.0
14258264,brown,26.0,62.9,59.8
11374996,grey,354.0,14.6,62.4
13923476,pink,340.0,52.7,64.3
9924475,grey,342.0,16.1,51.4
5325056,brown,48.0,100.0,15.9
10552964,purple,311.0,92.8,32.7
8272405,brown,21.0,71.4,28.8
15922164,grey,210.0,8.3,95.3
6303595,purple,289.0,39.0,30.2
14688650,pink,327.0,75.5,50.4
6570263,brown,33.0,62.6,24.1
13172758,red,353.0,100.0,39.4
12165523,grey,22.0,21.3,65.1
10715259,grey,8.0,17.9,56.1
16629687,pink,7.0,94.6,85.5
6277567,cyan,174.0,49.5,58.0
957605,cyan,184.0,84.4,35.1
11894492,purple,275.0,57.3,67.8
12105300,grey,59.0,41.3,52.5
7679523,brown,8.0,53.9,29.8
4603698,grey,39.0,16.7,23.5
16656146,red,5.0,99.2,53.3
10771026,brown,6.0,33.3,48.2
9379105,red,357.0,66.3,33.7
15953986,orange,15.0,88.1,60.6
15130836,grey,39.0,26.5,86.7
2433825,black,30.0,5.7,13.7
12573908,green,163.0,29.3,80.6
41709,blue,198.0,100.0,46.5
16110566,pink,326.0,63.0,89.4
15715768,brown,23.0,63.2,82.9
5117449,black,11.0,79.3,17.1
16754706,orange,37.0,100.0,53.5
13467442,brown,30.0,60.8,50.0
15116503,purple,315.0,55.4,78.0
11707604,purple,262.0,35.8,73.7
32604,green,163.0,100.0,24.9
16776960,yellow,60.0,100.0,50.0
13410333,yellow,45.0,75.1,45.7
3498150,blue,217.0,51.6,42.9
6625812,brown,4.0,66.9,23.7
16747264,orange,32.0,100.0,50.0
15907401,yellow,40.0,86.7,61.8
14639396,orange,20.0,74.5,50.8
16771094,yellow,54.0,100.0,54.3
49151,blue,195.0,100.0,50.0
14570117,pink,338.0,68.0,59.6
9924250,purple,295.0,17.9,51.8
9881762,green,134.0,31.3,68.6
6822947,brown,354.0,57.6,25.9
12434391,grey,244.0,25.9,78.8
16767832,yellow,47.0,100.0,67.3
10834771,brown,0.0,33.1,48.6
13955577,blue,192.0,75.5,90.4
